V1	gene	taxa	r.sqr	r.sqr.adj	pval	padj	ci.lower	ci.upper	sigma	sigma.flag	id	id	annt	gene	type
11	87137	chr13:84783525	g__Gemmiger|s__formicilis	0.407897319042528	0.354069802591849	0.000491618275229902	0.0442456447706912	-0.123811580930727	-0.0346820056829498	0.191223010911949	0	chr13:84783525:g__Gemmiger|s__formicilis	chr13:84783525	promoter-TSS (NR_132852)	SNORA107	snoRNA
12	87759	chr13:87811399	g__[Ruminococcus]|s__gnavus	0.518075953774028	0.474264676844395	0.000704747829010064	0.0634273046109058	0.289676649386542	1.08498571513135	0.366333690009125	0	chr13:87811399:g__[Ruminococcus]|s__gnavus	chr13:87811399	promoter-TSS (NR_104059)	LINC00397	ncRNA
13	121240	chr16:76869030	g__[Ruminococcus]|s__gnavus	0.671096542317486	0.605315850780984	1.01430104551661e-05	0.000912870940964945	0.196457261140596	0.510253099102341	0.144540018693709	0	chr16:76869030:g__[Ruminococcus]|s__gnavus	chr16:76869030	promoter-TSS (NR_039870)	MIR4719	ncRNA
14	125568	chr19:34899338	g__Gemmiger|s__formicilis	0.74065832763929	0.654211103519054	3.2445726299412e-06	0.000292011536694708	-0.138257924581186	-0.0563246108394978	0.175783794594822	0	chr19:34899338:g__Gemmiger|s__formicilis	chr19:34899338	promoter-TSS (NR_046222)	LINC00904	ncRNA
15	130420	chr2:6633959	g__[Ruminococcus]|s__gnavus	0.488500171860772	0.386200206232927	0.000292773961273081	0.0263496565145773	0.258003315658016	0.866649020939754	0.28035318183536	0	chr2:6633959:g__[Ruminococcus]|s__gnavus	chr2:6633959	promoter-TSS (NR_110500)	LINC01246	ncRNA
16	134619	chr2:50696694	g__Veillonella|s__parvula	0.654911628033096	0.539882170710794	3.68976555230239e-05	0.00332078899707215	0.106489746533132	0.299198466328343	0.228789017458628	0	chr2:50696694:g__Veillonella|s__parvula	chr2:50696694	promoter-TSS (NR_130470)	MIR8485	ncRNA
17	134723	chr2:56001069	g__Mucispirillum|s__schaedleri	0.576872590786873	0.492247108944248	2.6158200589344e-05	0.00235423805304096	0.0794720801163294	0.218260442566222	0.252240020771296	0	chr2:56001069:g__Mucispirillum|s__schaedleri	chr2:56001069	promoter-TSS (NR_030623)	MIR216B	ncRNA
18	139510	chr2:100208348	g__[Ruminococcus]|s__gnavus	0.50461746342029	0.459582687367589	0.000233469302619581	0.0210122372357623	-1.00857960608789	-0.307557451200172	0.322903439479423	0	chr2:100208348:g__[Ruminococcus]|s__gnavus	chr2:100208348	promoter-TSS (NR_103730)	LINC01104	ncRNA
19	143670	chr2:179862060	g__Haemophilus|s__parainfluenzae	0.248586204729942	0.098303445675931	0.00110285935244613	0.0992573417201519	0.0341236435872557	0.136787323715901	0.122309828312429	0	chr2:179862060:g__Haemophilus|s__parainfluenzae	chr2:179862060	promoter-TSS (NR_148057)	ZNF385B	protein-coding
20	147160	chr20:5002446	g__[Ruminococcus]|s__gnavus	0.554002753142641	0.464803303771169	7.67162560913372e-05	0.00690446304822035	0.272388545332882	0.807740705029871	0.246592853725975	0	chr20:5002446:g__[Ruminococcus]|s__gnavus	chr20:5002446	promoter-TSS (NM_005116)	SLC23A2	protein-coding
21	161980	chr3:2892131	g__Veillonella|s__parvula	0.783280611052804	0.711040814737071	3.37790466939966e-06	0.00030401142024597	0.111894091811359	0.275165446763931	0.19384017972012	0	chr3:2892131:g__Veillonella|s__parvula	chr3:2892131	promoter-TSS (NM_001206956)	CNTN4	protein-coding
22	169671	chr3:98497230	g__Morganella|s__morganii	0.84182748283237	0.810192979398843	5.28595175999329e-06	0.000281809001644861	0.00237124838938819	0.00595574987171137	0.0144297271959364	0	chr3:98497230:g__Morganella|s__morganii	chr3:98497230	promoter-TSS (NM_001004737)	OR5K2	protein-coding
23	182950	chr3:176636519	g__Veillonella|s__parvula	0.576519349589766	0.491823219507719	2.75157971466745e-05	0.00247642174320071	0.0975542341123804	0.268795100465874	0.203301799749456	0	chr3:176636519:g__Veillonella|s__parvula	chr3:176636519	promoter-TSS (NR_109968)	LINC01208	ncRNA
24	203830	chr5:58581213	g__Veillonella|s__parvula	0.692741029126363	0.631289234951636	1.87092026340828e-05	0.00168382823706745	0.134937946455357	0.362952061466354	0.270704539968415	0	chr5:58581213:g__Veillonella|s__parvula	chr5:58581213	promoter-TSS (NM_001317915)	RAB3C	protein-coding
25	205480	chr5:87661949	g__Bacteroides|s__caccae	0.32972823205065	0.268794434964345	0.000695923114606684	0.0626330803146016	-0.087669746313823	-0.0234481378840118	0.191702371816095	0	chr5:87661949:g__Bacteroides|s__caccae	chr5:87661949	promoter-TSS (NR_149089)	LINC02488	ncRNA
26	207994	chr5:143436434	g__Faecalibacterium|s__prausnitzii	0.521201871384651	0.477674768783256	8.1868109464073e-05	0.00736812985176657	-0.30105397239825	-0.100995627305256	0.285002147971154	0	chr5:143436434:g__Faecalibacterium|s__prausnitzii	chr5:143436434	promoter-TSS (NM_001018075)	NR3C1	protein-coding
27	220521	chr7:15562217	g__Morganella|s__morganii	0.831126254079232	0.746689381118848	1.02700842716627e-05	0.000924307584449641	0.0192130553951461	0.0499352783401674	0.123675020957747	0	chr7:15562217:g__Morganella|s__morganii	chr7:15562217	promoter-TSS (NM_001004320)	AGMO	protein-coding
28	225357	chr7:32299981	g__Snodgrassella|s__alvi	0.626589030440887	0.502118707254516	8.75015153492121e-06	0.000393756819071455	0.00843775134816992	0.0217424466555607	0.0838837592522045	0	chr7:32299981:g__Snodgrassella|s__alvi	chr7:32299981	promoter-TSS (NM_001322058)	PDE1C	protein-coding
29	225790	chr7:37683063	g__Veillonella|s__parvula	0.681877905465491	0.618253486558589	6.35525881970396e-06	0.000571973293773357	0.116879504979638	0.296250975076978	0.212954672976349	0	chr7:37683063:g__Veillonella|s__parvula	chr7:37683063	promoter-TSS (NM_001329993)	GPR141	protein-coding
30	227621	chr7:49773247	g__[Ruminococcus]|s__gnavus	0.841728001150312	0.762592001725468	8.14456445284973e-06	0.000733010800756476	-0.108928753952643	-0.0424325519830664	0.0306293491276804	0	chr7:49773247:g__[Ruminococcus]|s__gnavus	chr7:49773247	promoter-TSS (NM_198570)	VWC2	protein-coding
31	228196	chr7:55963861	g__Blautia|s__obeum	0.765700546846458	0.744400596559772	2.72292455292035e-05	0.00245063209762832	-0.597460032411367	-0.216983870406114	0.246312901938723	0	chr7:55963861:g__Blautia|s__obeum	chr7:55963861	promoter-TSS (NM_001483)	NIPSNAP2	protein-coding
32	228286	chr7:55963871	g__Blautia|s__obeum	0.708107798581473	0.681572143907061	1.80594784620224e-05	0.00162535306158202	-0.506832530678589	-0.188830263337238	0.205868511917076	0	chr7:55963871:g__Blautia|s__obeum	chr7:55963871	promoter-TSS (NM_001483)	NIPSNAP2	protein-coding
33	228376	chr7:55963874	g__Blautia|s__obeum	0.64406368485429	0.611705838022862	0.000219303201790348	0.0197372881611313	-0.495771689166085	-0.152151940387175	0.22245277349076	0	chr7:55963874:g__Blautia|s__obeum	chr7:55963874	promoter-TSS (NM_001483)	NIPSNAP2	protein-coding
34	236601	chr7:99557987	g__Veillonella|s__dispar	0.773216649579162	0.611228542135707	6.32108508245636e-06	0.000568897657421072	0.013410631251333	0.0339823217319132	0.0709707145892373	0	chr7:99557987:g__Veillonella|s__dispar	chr7:99557987	promoter-TSS (NM_138494)	ZNF655	protein-coding
35	254029	chr8:49911132	g__Blautia|s__obeum	0.567997613799983	0.48159713655998	0.000306779825058051	0.0276101842552246	0.0776157069674639	0.262059537223057	0.119405365202146	0	chr8:49911132:g__Blautia|s__obeum	chr8:49911132	promoter-TSS (NM_001321777)	SNTG1	protein-coding
36	266865	chr8:106447544	g__Prevotella|s__stercorea	0.556240268107883	0.408320357477177	0.000718035497190341	0.0646231947471307	-0.206409724710136	-0.0549634345314782	0.336537221611327	0	chr8:106447544:g__Prevotella|s__stercorea	chr8:106447544	promoter-TSS (NM_001198532)	OXR1	protein-coding
37	271333	chr8:127219770	g__Veillonella|s__parvula	0.600308393833122	0.520370072599746	1.71463533976765e-05	0.00154317180579089	0.126918454921357	0.339605136356489	0.25250739522213	0	chr8:127219770:g__Veillonella|s__parvula	chr8:127219770	promoter-TSS (NR_108049)	CCAT1	ncRNA
38	282022	chr9:116504305	g__Pseudomonas|s__fragi	0.819137321542661	0.758849762056882	0.000500624647577835	0.0225281091410026	-0.0390349115822118	-0.0109093257733922	0.0729707227172355	0	chr9:116504305:g__Pseudomonas|s__fragi	chr9:116504305	promoter-TSS (NR_033973)	ASTN2-AS1	ncRNA
