	V1	gene	taxa	r.sqr	r.sqr.adj	beta	pval	padj	ci.lower	ci.upper	sigma	sigma.flag	id	id	annt	gene	type
18	292769	chr3:147408616	f__Oceanospirillaceae|g__Oleibacter	0.597955394	0.517546473	0.06874242	6.20E-06	0.000923631	0.081343533	0.205921569	0.168661272	0	chr3:147408616:f__Oceanospirillaceae|g__Oleibacter	chr3:147408616	promoter-TSS (NM_003412)	ZIC1	protein-coding
19	292918	chr3:147408638	f__Oceanospirillaceae|g__Oleibacter	0.492286762	0.390744115	0.068047338	0.000146465	0.021823336	0.076963215	0.241191002	0.222341499	0	chr3:147408638:f__Oceanospirillaceae|g__Oleibacter	chr3:147408638	promoter-TSS (NM_003412)	ZIC1	protein-coding
20	300191	chr3:169821987	f__Acetobacteraceae|g__Acetobacter	0.612353325	0.53482399	0.065693062	4.60E-06	0.000685022	0.074845861	0.186724396	0.203248787	0	chr3:169821987:f__Acetobacteraceae|g__Acetobacter	chr3:169821987	promoter-TSS (NM_001080460)	LRRIQ4	protein-coding
21	303601	chr3:179898579	f__[Tissierellaceae]|g__Sporanaerobacter	0.608040073	0.477386764	-0.094655788	0.000351292	0.052342513	-0.283603502	-0.082723286	0.210572517	0	chr3:179898579:f__[Tissierellaceae]|g__Sporanaerobacter	chr3:179898579	promoter-TSS (NR_110060)	PEX5L-AS2	ncRNA
22	336908	chr5:58581214	f__Micromonosporaceae|g__Catellatospora	0.528882916	0.434659499	0.073874882	6.33E-05	0.009438161	0.08303025	0.242573081	0.327885949	0	chr5:58581214:f__Micromonosporaceae|g__Catellatospora	chr5:58581214	promoter-TSS (NM_001317915)	RAB3C	protein-coding
23	340553	chr5:111513509	f__[Tissierellaceae]|g__Sporanaerobacter	0.607452498	0.571766361	-0.115574269	5.75E-06	0.000856619	-0.329524396	-0.130658011	0.208461519	0	chr5:111513509:f__[Tissierellaceae]|g__Sporanaerobacter	chr5:111513509	promoter-TSS (NM_139164)	STARD4	protein-coding
24	348717	chr6:49949432	f__Lachnospiraceae|g__Anaerostipes	0.828940567	0.743410851	0.049279306	4.33E-06	0.000645486	0.046665721	0.116092374	0.080225694	0	chr6:49949432:f__Lachnospiraceae|g__Anaerostipes	chr6:49949432	promoter-TSS (NR_163261)	DEFB133	pseudo
25	348736	chr6:49949432	f__Syntrophomonadaceae|g__Syntrophomonas	0.828940567	0.743410851	-0.028588591	0.000384525	0.028647147	-0.097330505	-0.028093183	0.080225694	0	chr6:49949432:f__Syntrophomonadaceae|g__Syntrophomonas	chr6:49949432	promoter-TSS (NR_163261)	DEFB133	pseudo
26	353970	chr6:85449354	f__Fusobacteriaceae|g__Fusobacterium	0.590593796	0.55337505	0.140481135	1.59E-05	0.002363965	0.146100803	0.389148025	0.173718562	0	chr6:85449354:f__Fusobacteriaceae|g__Fusobacterium	chr6:85449354	promoter-TSS (NM_001204813)	NT5E	protein-coding
27	378846	chr7:77200133	f__[Tissierellaceae]|g__Sporanaerobacter	0.831188023	0.797425627	0.060029469	3.37E-06	0.000501897	0.050759176	0.124808954	0.077622617	0	chr7:77200133:f__[Tissierellaceae]|g__Sporanaerobacter	chr7:77200133	promoter-TSS (NM_006682)	FGL2	protein-coding
28	412741	chr8:16186628	f__Actinomycetaceae|g__Varibaculum	0.533504675	0.44020561	0.023217098	7.40E-05	0.01102232	0.024519635	0.072501421	0.163089339	0	chr8:16186628:f__Actinomycetaceae|g__Varibaculum	chr8:16186628	promoter-TSS (NM_001363744)	MSR1	protein-coding
29	413137	chr8:17026717	f__Sphingomonadaceae|g__Sphingomonas	0.561681443	0.474017732	0.226535462	0.000115386	0.017192524	0.224761811	0.689508705	0.228648777	0	chr8:17026717:f__Sphingomonadaceae|g__Sphingomonas	chr8:17026717	promoter-TSS (NM_181723)	MICU3	protein-coding
30	417118	chr8:27049947	f__Lachnospiraceae|g__Ruminococcus	0.653695429	0.584434515	0.030901354	2.74E-06	0.000407544	0.02884805	0.070273155	0.099066277	0	chr8:27049947:f__Lachnospiraceae|g__Ruminococcus	chr8:27049947	promoter-TSS (NR_031680)	MIR548H4	ncRNA
31	457637	chr9:28889356	f__Lachnospiraceae|g__Blautia	0.753520472	0.630280708	0.185165772	8.69E-06	0.001295206	0.179081218	0.461296694	0.122321531	0	chr9:28889356:f__Lachnospiraceae|g__Blautia	chr9:28889356	promoter-TSS (NR_030618)	MIR873	ncRNA
